annotation2	annotation2rev	annotation1	annotation1rev	num	tot	annotation3	final	finalrev
Activated ADAMDEC1-hi fibroblast	Activated ADAMDEC1-hi fibroblast	Fibroblasts-COL-hi	Fibroblasts-COL-hi	856	10558	Fibroblast	Trophocyte-TGFBI hi	Trophocyte-TGFBI hi
Activated C1Q-macrophage	Activated C1Q-macrophage	Myeloid cells	Myeloid cells	551	19047	Myeloid	M2-like macrophage-A2M-hi	M2-like macrophage-A2M-hi
ADAMDEC1-hi fibroblast	ADAMDEC1-hi fibroblast	Fibroblasts-COL-hi	Fibroblasts-COL-hi	3060	10558	Fibroblast	Trophocyte	Trophocyte
AML-like myeloid	AML-like myeloid	Myeloid cells	Myeloid cells	180	19047	Myeloid	Contaminant-AML-like myeloid	NA
AREG-AHR-ID2 ILCs	AREG-AHR-ID2 ILCs	T cells-AREG-hi	T cells-AREG-hi	652	1136	T cell	ILCs	ILCs
B cells	B cells	B cells	B cells	32114	32114	B cell	B cells	B cells
B-like myeloid	B-like myeloid	Myeloid cells	Myeloid cells	171	19047	Myeloid	Contaminant-B-like myeloid	NA
C1Q-hi macrophage	C1Q-hi macrophage	Myeloid cells	Myeloid cells	2700	19047	Myeloid	Tissue macrophage	Tissue macrophage
C1R-hi fibroblast	C1R-hi fibroblast	Fibroblasts-C1R-hi	Fibroblasts-C1R-hi	3378	4846	Fibroblast	Tissue fibroblast	Tissue fibroblast
CCL3-4-hi cells	CCL3-4-hi cells	Myeloid cells	Myeloid cells	286	19047	Myeloid	Monocyte-CCL3-4-hi	Monocyte-CCL3-4-hi
CCR7-hi DC	CCR7-hi DC	Myeloid cells	Myeloid cells	592	19047	Myeloid	Dendritic cell - CCR7-hi	Dendritic cell - CCR7-hi
CCR7hi CD4 T cells	CCR7hi CD4 T cells	T cells-IL7R-hi	T cells-IL7R-hi	15673	47877	T cell	CCR7hi CD4 T cells	CCR7hi CD4 T cells
CD1c DCs	CD1c DCs	Myeloid cells	Myeloid cells	1557	19047	Myeloid	Dendritic cell - cDC2	Dendritic cell - cDC2
CD4 T cells	CD4 T cells	T cells-IL7R-hi	T cells-IL7R-hi	10821	47877	T cell	CD4 T cells	CD4 T cells
CD44-hi mono-derived cell	CD44-hi mono-derived cell	Myeloid cells	Myeloid cells	2417	19047	Myeloid	Monocyte	Monocyte
CD63+CD81+ macrophage	CD63+CD81+ macrophage	Myeloid cells	Myeloid cells	1711	19047	Myeloid	CD63+CD81+ macrophage	CD63+CD81+ macrophage
CD69+ CD4 T cells	CD69+ CD4 T cells	T cells-IL7R-hi	T cells-IL7R-hi	772	47877	T cell	CD69+ CD4 T cells	CD69+ CD4 T cells
CD74-hi endothelium	CD74-hi endothelium	Endothelial cells	Endothelial cells	2901	8244	Endothelial	Arterial endothelium	Arterial endothelium
CD8 intraepithelial cells	CD8 intraepithelial cells	Activated T cells	Activated T cells	5967	22772	T cell	CD8 intraepithelial cells	CD8 intraepithelial cells
Clec9A-hi macrophage	Clec9A-hi macrophage	Myeloid cells	Myeloid cells	602	19047	Myeloid	Dendritic cell - cDC1	Dendritic cell - cDC1
COL1A1-hi fibroblast	COL1A1-hi fibroblast	Fibroblasts-C1R-hi	Fibroblasts-C1R-hi	827	4846	Fibroblast	Collagen-hi tissue fibroblast	Collagen-hi tissue fibroblast
Colonocytes-CAECAM-hi	Colonocytes-CAECAM-hi	Colonocytes-CAECAM-hi	Colonocytes-CAECAM-hi	16020	16020	Epithelial	Colonocytes-CAECAM-hi	Colonocytes-CAECAM-hi
Colonocytes-LGALS4-hi	Colonocytes-LGALS4-hi	Colonocytes-LGALS4-hi	Colonocytes-LGALS4-hi	22712	22712	Epithelial	Colonocytes-LGALS4-hi	Colonocytes-LGALS4-hi
Contaminant-Bcell	NA	Fibroblasts-COL-hi	NA	1419	10558	NA	Contaminant-Bcell	NA
