NewName	OldName
Arterial endothelium	CD74-hi endothelium
B cells	B cells
CCR7hi CD4 T cells	CCR7hi CD4 T cells
CD4 T cells	CD4 T cells
CD8 intraepithelial cells	CD8 intraepithelial cells
CD63+CD81+ macrophage	CD63+CD81+ macrophage
CD69+ CD4 T cells	CD69+ CD4 T cells
CXCR6-hi CD4 T cells	CXCR6-hi CD4 T cells
Collagen-hi tissue fibroblasts	COL1A1-hi fibroblast
Colonocytes-CEACAM-hi	Colonocytes-CEACAM-hi
Colonocytes-LGALS4-hi	Colonocytes-LGALS4-hi
Contaminant - HSP-hi T cells	HSP-hi T cells
Contaminant - Mito-HSP-hi cells	Mito-HSP-hi cells
Contaminant-AML-like myeloid	AML-like myeloid
Contaminant-B-like myeloid	B-like myeloid
Contaminant-Bcell	Contaminant-Bcell
Contaminant-CXCL14-hi cells	CXCL14-hi cells
Contaminant-T-cell like myeloid	T-cell like myeloid
Contaminant-doublets	Contaminant-doublets
Contaminant-epithelial	Contaminant-epithelial
Contractile pericytes	MYH11-hi pericytes
Cycling B cells	Cycling B cells
Cycling T cells	Cycling T cells
Cycling endothelium	Cycling endothelium
Cycling myeloid	Cycling myeloid
Dendritic cell - CCR7-hi	CCR7-hi DC
Dendritic cell - cDC1	Clec9A-hi macrophage
Dendritic cell - cDC2	CD1c DCs
Enteric glia	Enteric glia
Enterocyte-ANPEP-hi	Enterocyte-ANPEP-hi
Enterocyte-FABP-hi	Enterocyte-FABP-hi
Enterocyte-mito-hi	Enterocyte-mito-hi
Enterocytes-COX-hi	Enterocytes-COX-hi
Enterocytes-FTL-hi	Enterocytes-FTL-hi
Enterocytes-FTL-hi2	Enterocytes-FTL-hi2
Enterocytes-MT-hi	Enterocytes-MT-hi
Enteroendocrine cells	Enteroendocrine cells
Follicular helper T cells	Follicular helper T cells
GZMB-hi B cells	GZMB-hi B cell
GZMK-hi CD8 T cells	GZMK-hi CD8 T cells
Goblet cells	Goblet cells
Goblet cells-DEF-hi	Goblet cells-DEF-hi
ILCs	AREG-AHR-ID2 ILCs
Inflammatory fibroblasts	CXCL1-hi fibroblasts
Intraepithelial Tgd	Intraepithelial Tgd
LP-associated NK-Tgd	LP associated Tgd
Lymphatic endothelium	Lymphatic endothelium
Lyve1 macrophage	Lyve1 macrophage
M2-like macrophage	M2-like macrophage
M2-like macrophage-A2M-hi	Activated C1Q-macrophage
Mast cells	Mast cells
Mito-hi endothelium	Mito-hi endothelium
Monocyte	CD44-hi mono-derived cell
Monocyte-CCL3-4-hi	CCL3-4-hi cells
Monocyte-FPR1-hi	FPR1-hi cells
Monocyte-IL1B-hi	IL1B-hi cells
Monocyte-HSP-hi	HSP-hi monocyte
Myofibroblasts	Myofibroblasts
Neutrophils	Neutrophils
NAMPT-hi Neutrophils	Macrophage-like neutrophils
PLGC2-hi T cells	PLGC2-hi T cells
Paneth cells	Paneth cells
Pericytes	Pericytes
Plasma cells-IgA	Plasma cells-IgA
Plasma cells-IgG	Plasma cells-IgG
Regulatory T cells	Regulatory T cells
Ribo-hi subset	Ribo-hi subset
SIP syncytium fibroblasts	KCNN3-hi fibroblasts
Stem-like cells-OLFM4-hi	Stem-like cells-OLFM4-hi
Telocyte	CXCL14-hi ADAMDEC1-neg fibroblasts
Tissue fibroblasts	C1R-hi fibroblast
Tissue macrophage	C1Q-hi macrophage
Tissue macrophage-KRT-hi	KRT-hi cells
Trophocyte	ADAMDEC1-hi fibroblast
Trophocyte-TGFBI hi	Activated ADAMDEC1-hi fibroblast
Tuft cells	Tuft cells
Venous endothelium	PECAM-hi endothelium
